Media Source,Is Relevant,Is Schedule,Is Done,Total
מכיר/ה את הבית,1,1,0,1
מספר טלפון - רמת החייל,2,0,0,6
pmax,5,0,0,43
woki,1,0,0,3
רדיו,1,0,0,1
אתר עד 120,1,0,0,5
google_brand_hod_hasharon,0,0,0,1
עובד מביא חבר,1,1,0,1
google_brand,8,2,0,12
facebook_main_lg_rishon_lezion,2,0,0,3
google_brand_rishon_lezion,3,2,0,3
google_category,0,0,0,3
facebook_leadgen,1,1,0,1
flow,21,2,0,29
מספר טלפון - מודיעין,4,0,0,8
מספר טלפון - ראשון לציון,4,0,0,6
facebook_main_lg_hod_hasharon,0,0,0,1
מספר טלפון - הוד השרון,1,0,0,5
אתר אינטרנט,1,1,0,4
facebook_modiin_lg_modiin,7,1,0,9
facebook_main_lg_tlv,4,2,0,6
google_display_rishon_lezion,2,0,0,3
google_display_hod_hasharon,1,0,0,2
google_modiin,1,0,0,1
google_display_tlv,1,0,0,3
google_category_hod_hasharon,0,0,0,1
המאגר,0,0,0,1
