media source,bmby,callbox,total
חבר מביא חבר,6,0,6
מכיר/ה את הבית,9,0,9
מספר טלפון - רמת החייל,32,0,32
woki,3,0,3
רדיו,17,0,17
google_category_modiin,1,0,1
google_brand_hod_hasharon,2,0,2
מזדמנים,1,0,1
google_brand,51,13,64
google_modiin_brand_modiin,0,6,6
facebook_rmkt_lg_modiin,1,0,1
google_brand_modiin,0,11,11
facebook_mankalim_lg_rishon_lezion,2,0,2
facebook_leadgen,5,0,5
flow,120,0,120
facebook_main_lg_hod_hasharon,14,0,14
google_category_rishon_lezion,1,0,1
לקוח מזדמן,2,0,2
אתר אינטרנט,22,0,22
facebook_modiin_lg_modiin,35,0,35
facebook_rmkt_lg_hod_hasharon,2,0,2
facebook_leadgen_modiin,27,0,27
google_display_tlv,28,0,28
מחלקות הבריאות,1,0,1
facebook_leadgen_rishon_lezion,11,0,11
המאגר,5,0,5
pmax,35,195,230
אתר עד 120,21,0,21
אורגני,12,0,12
dreams,1,0,1
עובד מביא חבר,1,0,1
facebook_main_lg_rishon_lezion,14,0,14
google_brand_rishon_lezion,5,9,14
facebook_mankalim_lg_hod_hasharon,9,0,9
google_display_modiin,6,0,6
טלפון מנכל ת.אביב,6,0,6
google_category,0,11,11
facebook_rmkt_lg_tlv,3,0,3
מספר טלפון - מודיעין,64,0,64
facebook_leadgen_hod_hasharon,7,0,7
מספר טלפון - ראשון לציון,24,0,24
facebook_leadgen_tlv,9,0,9
טלפון מנכל ה.השרון,3,0,3
מספר טלפון - הוד השרון,17,0,17
google_rishon_lezion,1,0,1
facebook_main_lg_tlv,29,0,29
חברת השמה - ההורים שלי,1,0,1
מכללת השחר,2,0,2
google_display_rishon_lezion,13,0,13
google_display_hod_hasharon,10,0,10
google_brand_tlv,2,4,6
facebook_main_lg_modiin,6,0,6
google_tlv,14,0,14
אירועי שיווק_רותם,25,0,25
